Project_ID,Industry,Agent_Type,Primary_Tool,Status,Failure_Reason,Human_in_the_Loop_Ratio,Tokens_per_Task,ROI_Score
AGP-1258,Energy,Autonomous,LangGraph,Pilot,Loop Error,0.129,960,0.76
AGP-1259,Manufacturing,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.728,8426,1.66
AGP-1260,Telecom,Autonomous,LangGraph,Pilot,Loop Error,0.633,4297,1.47
AGP-1261,Finance,Multi-agent Swarm,AutoGPT 3.0,Production,,0.147,13405,1.89
AGP-1262,Retail,Autonomous,LangGraph,Pilot,Cost Overrun,0.132,2889,-0.31
AGP-1263,Legal,Autonomous,LangGraph,Pilot,Schema Drift,0.471,5429,0.72
AGP-1264,Telecom,Autonomous,CrewAI,Abandoned,Loop Error,0.099,3046,-0.56
AGP-1265,Manufacturing,Autonomous,CrewAI,Pilot,Schema Drift,0.206,6736,1.07
AGP-1266,Energy,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.244,13272,1.63
AGP-1267,Healthcare,Assistant,LangGraph,Abandoned,Schema Drift,0.392,5606,-0.53
AGP-1268,Telecom,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.238,2961,-0.72
AGP-1269,Manufacturing,Assistant,LangGraph,Production,,0.661,5014,3.72
AGP-1270,Manufacturing,Assistant,LangGraph,Pilot,Security Violation,0.795,3623,1.05
AGP-1271,Telecom,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.429,6845,1.23
AGP-1272,Retail,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.401,7442,-0.69
AGP-1273,Retail,Assistant,CrewAI,Production,,0.495,4710,2.6
AGP-1274,Technology,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.54,5031,-1.33
AGP-1275,Finance,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.345,6399,0.01
AGP-1276,Legal,Assistant,CrewAI,Pilot,Schema Drift,0.554,2794,0.7
AGP-1277,Healthcare,Assistant,LangGraph,Pilot,Security Violation,0.575,5014,1.53
AGP-1278,Finance,Autonomous,CrewAI,Abandoned,Cost Overrun,0.464,2157,-0.64
AGP-1279,Government,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.383,6353,-0.0
AGP-1280,Technology,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.603,5886,0.37
AGP-1281,Legal,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.138,10727,-0.53
AGP-1282,Retail,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.551,6603,0.41
AGP-1283,Retail,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.405,3272,-1.09
AGP-1284,Technology,Autonomous,LangGraph,Pilot,Cost Overrun,0.138,3597,0.07
AGP-1285,Government,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.791,10294,-1.52
AGP-1286,Government,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.592,5409,1.78
AGP-1287,Retail,Multi-agent Swarm,CrewAI,Production,,0.916,6016,2.35
AGP-1288,Legal,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.199,6426,-0.44
AGP-1289,Retail,Autonomous,LangGraph,Pilot,Cost Overrun,0.102,1786,2.12
AGP-1290,Manufacturing,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.556,9475,-1.4
AGP-1291,Retail,Autonomous,CrewAI,Abandoned,Loop Error,0.111,4661,-0.66
AGP-1292,Technology,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.017,7127,-0.16
AGP-1293,Manufacturing,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.144,6631,0.16
AGP-1294,Legal,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.295,3026,0.05
AGP-1295,Legal,Assistant,LangGraph,Production,,0.952,4922,2.64
AGP-1296,Retail,Assistant,AutoGPT 3.0,Production,,0.919,10010,0.95
AGP-1297,Finance,Assistant,AutoGPT 3.0,Pilot,Schema Drift,0.711,9291,0.56
AGP-1298,Healthcare,Multi-agent Swarm,CrewAI,Production,,0.324,2220,3.76
AGP-1299,Technology,Assistant,LangGraph,Pilot,Security Violation,0.711,5557,1.22
AGP-1300,Retail,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.046,6416,1.7
AGP-1301,Healthcare,Autonomous,LangGraph,Pilot,Cost Overrun,0.089,2508,-0.59
AGP-1302,Manufacturing,Autonomous,CrewAI,Pilot,Schema Drift,0.364,4805,0.48
AGP-1303,Insurance,Autonomous,CrewAI,Pilot,Schema Drift,0.117,3738,-0.23
AGP-1304,Healthcare,Autonomous,LangGraph,Pilot,Security Violation,0.189,3409,-0.02
AGP-1305,Energy,Autonomous,CrewAI,Abandoned,Schema Drift,0.052,4315,-0.35
AGP-1306,Government,Autonomous,LangGraph,Production,,0.383,5024,2.95
AGP-1307,Technology,Assistant,CrewAI,Pilot,Schema Drift,0.949,4177,1.03
AGP-1308,Technology,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.787,3324,-0.71
AGP-1309,Finance,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.117,5224,0.18
AGP-1310,Telecom,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.509,4211,0.07
AGP-1311,Retail,Assistant,LangGraph,Abandoned,Security Violation,0.527,4453,-0.68
AGP-1312,Government,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.235,3531,0.54
AGP-1313,Manufacturing,Assistant,AutoGPT 3.0,Production,,0.752,6408,4.04
AGP-1314,Finance,Autonomous,LangGraph,Abandoned,Security Violation,0.168,5220,0.26
AGP-1315,Finance,Assistant,CrewAI,Abandoned,Cost Overrun,0.708,4592,-0.14
AGP-1316,Technology,Assistant,CrewAI,Pilot,Schema Drift,0.756,6527,0.34
AGP-1317,Manufacturing,Assistant,CrewAI,Abandoned,Cost Overrun,0.513,5277,-1.08
AGP-1318,Finance,Autonomous,CrewAI,Abandoned,Cost Overrun,0.244,4310,-0.45
AGP-1319,Insurance,Assistant,CrewAI,Abandoned,Loop Error,0.989,2683,-0.8
AGP-1320,Energy,Multi-agent Swarm,CrewAI,Abandoned,Schema Drift,0.079,7732,-1.7
AGP-1321,Manufacturing,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.287,3390,1.1
AGP-1322,Retail,Assistant,LangGraph,Pilot,Loop Error,0.556,4609,0.67
AGP-1323,Finance,Assistant,AutoGPT 3.0,Production,,0.697,7780,3.24
AGP-1324,Insurance,Autonomous,LangGraph,Abandoned,Schema Drift,0.223,3261,-0.93
AGP-1325,Legal,Assistant,CrewAI,Abandoned,Schema Drift,0.741,2451,-1.27
AGP-1326,Government,Assistant,LangGraph,Abandoned,Schema Drift,0.81,3964,-0.52
AGP-1327,Retail,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.06,7092,-1.76
AGP-1328,Manufacturing,Autonomous,CrewAI,Abandoned,Schema Drift,0.151,3265,0.12
AGP-1329,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.443,8023,-0.03
AGP-1330,Healthcare,Assistant,LangGraph,Abandoned,Cost Overrun,0.588,2189,-1.09
AGP-1331,Insurance,Assistant,CrewAI,Pilot,Loop Error,0.826,6151,1.08
AGP-1332,Manufacturing,Assistant,AutoGPT 3.0,Production,,0.916,5156,1.98
AGP-1333,Manufacturing,Assistant,CrewAI,Pilot,Schema Drift,0.55,2086,1.04
AGP-1334,Telecom,Assistant,CrewAI,Production,,0.734,3577,2.29
AGP-1335,Telecom,Autonomous,CrewAI,Pilot,Schema Drift,0.425,3628,0.15
AGP-1336,Energy,Assistant,LangGraph,Pilot,Security Violation,0.981,3464,0.19
AGP-1337,Healthcare,Assistant,CrewAI,Production,,0.636,3568,3.25
AGP-1338,Technology,Autonomous,LangGraph,Abandoned,Security Violation,0.483,4947,-0.42
AGP-1339,Government,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.374,4682,0.49
AGP-1340,Retail,Autonomous,CrewAI,Abandoned,Schema Drift,0.044,6483,-0.64
AGP-1341,Finance,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.731,5621,-0.15
AGP-1342,Energy,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.622,7962,-0.25
AGP-1343,Retail,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.861,6378,0.07
AGP-1344,Manufacturing,Assistant,CrewAI,Production,,0.763,4071,2.29
AGP-1345,Telecom,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.729,7643,-1.94
AGP-1346,Technology,Assistant,CrewAI,Production,,0.806,2854,2.97
AGP-1347,Retail,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.904,5239,-0.03
AGP-1348,Legal,Assistant,CrewAI,Production,,0.745,3753,3.05
AGP-1349,Retail,Autonomous,CrewAI,Abandoned,Loop Error,0.183,5290,-0.14
AGP-1350,Finance,Autonomous,CrewAI,Abandoned,Schema Drift,0.112,6513,-0.51
AGP-1351,Insurance,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.888,6832,1.05
AGP-1352,Energy,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.435,6520,1.01
AGP-1353,Healthcare,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.554,7125,0.92
AGP-1354,Legal,Assistant,CrewAI,Production,,0.445,918,2.23
AGP-1355,Government,Assistant,LangGraph,Production,,0.511,3341,2.11
AGP-1356,Finance,Autonomous,CrewAI,Pilot,Schema Drift,0.273,4902,-0.12
AGP-1357,Manufacturing,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.436,4863,-0.94
AGP-1358,Retail,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.668,5518,-0.49
AGP-1359,Technology,Assistant,CrewAI,Pilot,Security Violation,0.722,4264,-0.51
AGP-1360,Healthcare,Autonomous,CrewAI,Pilot,Loop Error,0.179,3671,0.28
AGP-1361,Technology,Assistant,LangGraph,Pilot,Loop Error,0.317,3097,-0.1
AGP-1362,Retail,Autonomous,CrewAI,Pilot,Cost Overrun,0.023,2858,0.01
AGP-1363,Technology,Assistant,CrewAI,Abandoned,Loop Error,0.864,7288,-0.36
AGP-1364,Finance,Autonomous,LangGraph,Abandoned,Security Violation,0.032,5071,-0.34
AGP-1365,Retail,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.227,10589,-0.04
AGP-1366,Manufacturing,Autonomous,LangGraph,Pilot,Cost Overrun,0.304,2863,0.04
AGP-1367,Healthcare,Assistant,CrewAI,Pilot,Schema Drift,0.668,5347,1.05
AGP-1368,Finance,Autonomous,LangGraph,Pilot,Loop Error,0.294,1938,1.79
AGP-1369,Healthcare,Assistant,CrewAI,Pilot,Security Violation,0.796,3747,0.52
AGP-1370,Legal,Assistant,CrewAI,Production,,0.98,2987,2.6
AGP-1371,Finance,Assistant,AutoGPT 3.0,Production,,0.99,7569,2.67
AGP-1372,Telecom,Autonomous,LangGraph,Abandoned,Schema Drift,0.1,4888,-0.31
AGP-1373,Retail,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.301,6618,0.95
AGP-1374,Energy,Autonomous,CrewAI,Abandoned,Security Violation,0.053,5020,-0.36
AGP-1375,Telecom,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.437,6429,0.21
AGP-1376,Finance,Assistant,LangGraph,Pilot,Cost Overrun,0.647,3491,0.69
AGP-1377,Technology,Autonomous,LangGraph,Abandoned,Cost Overrun,0.154,3517,-0.95
AGP-1378,Government,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.609,9566,-1.41
AGP-1379,Technology,Autonomous,LangGraph,Pilot,Schema Drift,0.071,5565,0.8
AGP-1380,Retail,Assistant,CrewAI,Pilot,Loop Error,0.93,2106,1.34
AGP-1381,Retail,Assistant,CrewAI,Production,,0.83,2681,1.28
AGP-1382,Finance,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.77,8316,-1.33
AGP-1383,Manufacturing,Assistant,CrewAI,Production,,0.99,4125,3.35
AGP-1384,Telecom,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.911,5351,1.15
AGP-1385,Telecom,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.311,3004,2.13
AGP-1386,Finance,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.163,8451,0.0
AGP-1387,Technology,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.229,2691,1.01
AGP-1388,Legal,Multi-agent Swarm,LangGraph,Production,,0.46,7445,2.75
AGP-1389,Government,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.661,11347,-1.87
AGP-1390,Finance,Autonomous,LangGraph,Pilot,Schema Drift,0.413,3031,0.48
AGP-1391,Government,Autonomous,LangGraph,Abandoned,Loop Error,0.016,4044,-0.52
AGP-1392,Energy,Assistant,CrewAI,Production,,0.669,4871,2.97
AGP-1393,Finance,Assistant,LangGraph,Abandoned,Schema Drift,0.793,5578,-0.97
AGP-1394,Finance,Assistant,LangGraph,Pilot,Loop Error,0.631,4862,0.5
AGP-1395,Energy,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.473,4845,0.59
AGP-1396,Finance,Assistant,AutoGPT 3.0,Pilot,Schema Drift,0.961,5944,-0.67
AGP-1397,Manufacturing,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.039,5734,0.93
AGP-1398,Government,Assistant,LangGraph,Pilot,Loop Error,0.401,3152,0.57
AGP-1399,Manufacturing,Autonomous,CrewAI,Pilot,Loop Error,0.188,5837,0.96
AGP-1400,Retail,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.304,2996,0.5
AGP-1401,Retail,Autonomous,LangGraph,Pilot,Schema Drift,0.263,4286,0.67
AGP-1402,Finance,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.284,5155,0.27
AGP-1403,Telecom,Assistant,LangGraph,Abandoned,Security Violation,0.399,4622,-1.56
AGP-1404,Legal,Assistant,CrewAI,Pilot,Cost Overrun,0.561,3758,1.03
AGP-1405,Healthcare,Assistant,LangGraph,Abandoned,Schema Drift,0.582,3501,-0.14
AGP-1406,Healthcare,Assistant,CrewAI,Pilot,Schema Drift,0.723,1576,0.92
AGP-1407,Telecom,Multi-agent Swarm,AutoGPT 3.0,Pilot,Schema Drift,0.245,2756,1.02
AGP-1408,Finance,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.607,5515,-0.37
AGP-1409,Government,Assistant,CrewAI,Pilot,Cost Overrun,0.668,1974,1.04
AGP-1410,Technology,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.637,2917,0.62
AGP-1411,Energy,Assistant,LangGraph,Pilot,Security Violation,0.891,4950,0.03
AGP-1412,Telecom,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.785,3541,0.14
AGP-1413,Energy,Multi-agent Swarm,CrewAI,Production,,0.553,4867,4.97
AGP-1414,Telecom,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.646,6448,-0.24
AGP-1415,Finance,Assistant,CrewAI,Pilot,Schema Drift,0.601,5275,1.38
AGP-1416,Insurance,Autonomous,LangGraph,Pilot,Loop Error,0.097,1276,0.69
AGP-1417,Manufacturing,Assistant,CrewAI,Production,,0.712,6458,3.1
AGP-1418,Manufacturing,Assistant,LangGraph,Pilot,Schema Drift,0.968,2688,0.38
AGP-1419,Government,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.629,4180,-0.15
AGP-1420,Telecom,Assistant,CrewAI,Abandoned,Schema Drift,0.601,5648,-0.82
AGP-1421,Technology,Autonomous,LangGraph,Pilot,Loop Error,0.315,3696,1.1
AGP-1422,Retail,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.985,5967,-0.96
AGP-1423,Retail,Autonomous,CrewAI,Pilot,Loop Error,0.295,4643,0.94
AGP-1424,Retail,Multi-agent Swarm,AutoGPT 3.0,Pilot,Schema Drift,0.645,13930,-0.9
AGP-1425,Legal,Autonomous,LangGraph,Pilot,Security Violation,0.052,2924,1.02
AGP-1426,Retail,Assistant,LangGraph,Pilot,Schema Drift,0.459,4079,1.88
AGP-1427,Finance,Assistant,LangGraph,Abandoned,Security Violation,0.847,3792,-0.27
AGP-1428,Finance,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.183,5880,-1.12
AGP-1429,Insurance,Autonomous,CrewAI,Pilot,Loop Error,0.069,3011,0.43
AGP-1430,Retail,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.685,4196,0.79
AGP-1431,Government,Assistant,LangGraph,Production,,0.92,3132,1.64
AGP-1432,Technology,Assistant,CrewAI,Pilot,Loop Error,0.378,6268,0.59
AGP-1433,Finance,Assistant,LangGraph,Pilot,Loop Error,0.895,4379,0.47
AGP-1434,Finance,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.405,5358,-0.74
AGP-1435,Healthcare,Assistant,CrewAI,Abandoned,Loop Error,0.968,2709,-0.25
AGP-1436,Telecom,Autonomous,LangGraph,Abandoned,Schema Drift,0.416,2109,-0.11
AGP-1437,Healthcare,Autonomous,CrewAI,Pilot,Loop Error,0.459,5339,2.0
AGP-1438,Manufacturing,Assistant,LangGraph,Pilot,Loop Error,0.94,3647,0.93
AGP-1439,Government,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.613,5350,-0.05
AGP-1440,Telecom,Autonomous,CrewAI,Abandoned,Cost Overrun,0.01,3729,-0.61
AGP-1441,Healthcare,Autonomous,CrewAI,Pilot,Schema Drift,0.341,5233,0.31
AGP-1442,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.137,8468,0.75
AGP-1443,Finance,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.576,7642,0.22
AGP-1444,Finance,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.86,7449,-0.66
AGP-1445,Healthcare,Autonomous,LangGraph,Abandoned,Loop Error,0.135,4444,0.21
AGP-1446,Manufacturing,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.06,1816,-0.86
AGP-1447,Government,Autonomous,CrewAI,Pilot,Schema Drift,0.564,5026,1.09
AGP-1448,Manufacturing,Autonomous,CrewAI,Abandoned,Schema Drift,0.194,5589,-1.32
AGP-1449,Technology,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.134,3490,-0.2
AGP-1450,Healthcare,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.161,10536,-0.52
AGP-1451,Energy,Assistant,LangGraph,Pilot,Cost Overrun,0.823,2795,0.61
AGP-1452,Technology,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.259,8173,-1.42
AGP-1453,Government,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.522,6003,0.06
AGP-1454,Telecom,Assistant,LangGraph,Abandoned,Cost Overrun,0.476,3746,-0.57
AGP-1455,Legal,Autonomous,CrewAI,Production,,0.137,2993,2.68
AGP-1456,Finance,Assistant,CrewAI,Pilot,Loop Error,0.835,6110,0.94
AGP-1457,Healthcare,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.516,5624,-0.33
AGP-1458,Retail,Multi-agent Swarm,CrewAI,Production,,0.379,4794,3.1
AGP-1459,Telecom,Autonomous,CrewAI,Pilot,Loop Error,0.069,3068,0.97
AGP-1460,Retail,Assistant,CrewAI,Production,,0.815,5731,5.0
AGP-1461,Insurance,Autonomous,LangGraph,Pilot,Cost Overrun,0.203,2995,-0.05
AGP-1462,Manufacturing,Autonomous,CrewAI,Pilot,Schema Drift,0.151,3261,0.31
AGP-1463,Healthcare,Assistant,CrewAI,Abandoned,Schema Drift,0.516,1745,0.01
AGP-1464,Legal,Autonomous,LangGraph,Abandoned,Loop Error,0.3,4612,-0.69
AGP-1465,Technology,Autonomous,CrewAI,Pilot,Loop Error,0.337,5127,0.08
AGP-1466,Technology,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.225,12919,0.0
AGP-1467,Retail,Assistant,LangGraph,Pilot,Schema Drift,0.424,4850,1.35
AGP-1468,Healthcare,Autonomous,CrewAI,Pilot,Cost Overrun,0.035,3275,-0.13
AGP-1469,Technology,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.616,9994,-0.5
AGP-1470,Healthcare,Autonomous,AutoGPT 3.0,Production,,0.568,5953,3.22
AGP-1471,Government,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.692,5959,-0.06
AGP-1472,Healthcare,Autonomous,CrewAI,Pilot,Schema Drift,0.204,4409,1.0
AGP-1473,Finance,Assistant,AutoGPT 3.0,Abandoned,Schema Drift,0.848,6270,-1.33
AGP-1474,Manufacturing,Autonomous,CrewAI,Pilot,Cost Overrun,0.291,3845,-0.38
AGP-1475,Manufacturing,Autonomous,LangGraph,Pilot,Schema Drift,0.085,2865,2.02
AGP-1476,Manufacturing,Autonomous,LangGraph,Pilot,Schema Drift,0.218,5316,1.93
AGP-1477,Retail,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.028,8658,0.42
AGP-1478,Telecom,Autonomous,CrewAI,Abandoned,Cost Overrun,0.526,3186,0.16
AGP-1479,Retail,Assistant,LangGraph,Production,,0.875,4435,1.77
AGP-1480,Retail,Assistant,LangGraph,Production,,0.965,2848,4.17
AGP-1481,Retail,Autonomous,AutoGPT 3.0,Production,,0.239,8470,-0.13
AGP-1482,Finance,Assistant,CrewAI,Production,,0.436,4590,3.14
AGP-1483,Technology,Assistant,AutoGPT 3.0,Production,,0.518,4199,2.27
AGP-1484,Healthcare,Autonomous,CrewAI,Abandoned,Schema Drift,0.302,5255,0.15
AGP-1485,Technology,Assistant,AutoGPT 3.0,Production,,0.943,8828,2.75
AGP-1486,Finance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.327,5376,0.17
AGP-1487,Telecom,Autonomous,LangGraph,Pilot,Loop Error,0.399,2862,0.91
AGP-1488,Retail,Assistant,CrewAI,Abandoned,Schema Drift,0.678,4251,-0.88
AGP-1489,Government,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.358,6706,-0.35
AGP-1490,Retail,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.535,18153,0.13
AGP-1491,Finance,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.38,6602,0.33
AGP-1492,Energy,Assistant,CrewAI,Pilot,Security Violation,0.924,3510,0.31
AGP-1493,Technology,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.06,11992,0.43
AGP-1494,Insurance,Autonomous,LangGraph,Pilot,Cost Overrun,0.042,4138,-0.79
AGP-1495,Retail,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.062,6836,-0.34
AGP-1496,Technology,Autonomous,LangGraph,Abandoned,Cost Overrun,0.12,2819,0.25
AGP-1497,Energy,Autonomous,CrewAI,Abandoned,Schema Drift,0.22,3078,-0.34
AGP-1498,Technology,Assistant,CrewAI,Pilot,Loop Error,0.863,3044,-0.46
AGP-1499,Legal,Autonomous,LangGraph,Abandoned,Loop Error,0.266,4592,-0.58
AGP-1500,Technology,Autonomous,CrewAI,Abandoned,Loop Error,0.051,3430,-0.89
AGP-1501,Technology,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.684,5811,-0.03
AGP-1502,Telecom,Assistant,LangGraph,Pilot,Security Violation,0.973,2699,0.38
AGP-1503,Retail,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.425,8310,-0.06
AGP-1504,Retail,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.136,3295,1.31
AGP-1505,Energy,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.802,5536,-0.44
AGP-1506,Manufacturing,Autonomous,LangGraph,Abandoned,Security Violation,0.028,3700,-1.18
AGP-1507,Insurance,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.799,3828,0.69
AGP-1508,Retail,Autonomous,LangGraph,Production,,0.315,3434,4.01
AGP-1509,Healthcare,Autonomous,CrewAI,Abandoned,Loop Error,0.029,3800,-0.63
AGP-1510,Insurance,Assistant,CrewAI,Pilot,Loop Error,0.609,5729,0.84
AGP-1511,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.199,500,1.76
AGP-1512,Healthcare,Autonomous,LangGraph,Abandoned,Cost Overrun,0.252,2733,-0.79
AGP-1513,Technology,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.432,6769,-0.19
AGP-1514,Insurance,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.099,10048,0.88
AGP-1515,Government,Assistant,LangGraph,Abandoned,Cost Overrun,0.315,3296,-1.75
AGP-1516,Healthcare,Assistant,CrewAI,Abandoned,Cost Overrun,0.838,2759,-0.97
AGP-1517,Finance,Autonomous,CrewAI,Abandoned,Loop Error,0.264,2409,-1.23
AGP-1518,Telecom,Assistant,CrewAI,Pilot,Loop Error,0.492,2225,0.87
AGP-1519,Finance,Autonomous,LangGraph,Abandoned,Schema Drift,0.252,4131,-0.25
AGP-1520,Healthcare,Assistant,LangGraph,Abandoned,Schema Drift,0.878,4246,0.25
AGP-1521,Legal,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.375,3315,0.02
AGP-1522,Manufacturing,Autonomous,CrewAI,Abandoned,Cost Overrun,0.066,5855,-0.46
AGP-1523,Government,Autonomous,LangGraph,Abandoned,Schema Drift,0.108,3369,-0.55
AGP-1524,Insurance,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.423,5951,1.18
AGP-1525,Technology,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.148,4956,-0.04
AGP-1526,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.592,5413,-0.09
AGP-1527,Legal,Assistant,LangGraph,Abandoned,Cost Overrun,0.697,4072,-0.72
AGP-1528,Retail,Assistant,LangGraph,Abandoned,Loop Error,0.737,2552,-0.45
AGP-1529,Finance,Assistant,CrewAI,Pilot,Security Violation,0.748,776,1.77
AGP-1530,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.145,5546,0.04
AGP-1531,Legal,Assistant,LangGraph,Pilot,Cost Overrun,0.784,3770,0.52
AGP-1532,Finance,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.884,7145,-0.74
AGP-1533,Manufacturing,Assistant,CrewAI,Pilot,Schema Drift,0.762,5094,0.2
AGP-1534,Technology,Assistant,LangGraph,Abandoned,Security Violation,0.845,4371,-0.77
AGP-1535,Finance,Autonomous,CrewAI,Pilot,Security Violation,0.475,2057,0.58
AGP-1536,Retail,Assistant,LangGraph,Pilot,Loop Error,0.709,3791,0.51
AGP-1537,Insurance,Autonomous,LangGraph,Abandoned,Security Violation,0.01,6759,-0.36
AGP-1538,Insurance,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.47,5889,0.91
AGP-1539,Energy,Assistant,CrewAI,Pilot,Cost Overrun,0.865,6372,0.44
AGP-1540,Retail,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.705,6062,1.22
AGP-1541,Energy,Assistant,AutoGPT 3.0,Pilot,Schema Drift,0.819,9047,-0.11
AGP-1542,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.379,3175,0.08
AGP-1543,Legal,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.352,7557,-0.79
AGP-1544,Healthcare,Multi-agent Swarm,CrewAI,Production,,0.407,6917,2.75
AGP-1545,Retail,Assistant,LangGraph,Pilot,Loop Error,0.508,1960,0.38
AGP-1546,Retail,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.371,4145,1.46
AGP-1547,Healthcare,Autonomous,LangGraph,Pilot,Loop Error,0.366,4018,0.18
